u,v,key,name,highway,lanes,length_m,flow_pcu_hr,capacity_pcu_hr,vc_ratio,t0_s,time_s,n_stopped
12432945774,13734361088,0,Western Express Highway,trunk,2,268.4,6310.6,3230.0,1.954,16.1,51.3,0
1651800604,12432945774,0,Western Express Highway,trunk,2,96.5,6310.6,3230.0,1.954,5.8,18.4,0
2250992777,1651800604,0,Western Express Highway,trunk,2,346.2,6310.6,3230.0,1.954,20.8,66.2,0
10211936520,1318654999,0,,trunk_link,1,214.7,2700.3,1615.0,1.672,12.9,28.0,0
986518075,13877132374,0,Western Express Highway,trunk,2,138.8,5331.4,3230.0,1.651,8.3,17.6,0
13619939784,2897024523,0,Avenue 3,secondary,2,18.5,4181.7,2550.0,1.64,1.5,3.1,0
13877132374,1375215424,0,Western Express Highway,trunk,2,1242.8,4991.2,3230.0,1.545,74.6,138.3,0
1375215424,2250992777,0,Western Express Highway,trunk,2,304.1,4991.2,3230.0,1.545,18.2,33.9,0
10264514244,3795055145,0,Swami Vivekanand Road,primary,2,79.7,4672.3,3060.0,1.527,5.2,9.5,0
7398222695,10264514244,0,Swami Vivekanand Road,primary,2,103.6,4672.3,3060.0,1.527,6.8,12.3,0
3795055145,7398169361,0,Swami Vivekanand Road,primary,2,56.4,4672.3,3060.0,1.527,3.7,6.7,0
13855971681,7398169348,0,Swami Vivekanand Road,primary,2,31.6,4435.8,3060.0,1.45,2.1,3.4,0
7398169374,7398169375,0,Swami Vivekanand Road,primary,2,18.4,4435.8,3060.0,1.45,1.2,2.0,0
7398169361,7398169365,0,Swami Vivekanand Road,primary,2,162.5,4435.8,3060.0,1.45,10.6,17.7,0
7398169353,7398169374,0,Swami Vivekanand Road,primary,2,90.0,4435.8,3060.0,1.45,5.9,9.8,0
5938773180,5938773175,0,Swami Vivekanand Road,primary,2,51.7,4435.8,3060.0,1.45,3.4,5.6,0
13366777569,13695160569,0,Swami Vivekanand Road,primary,2,48.7,4435.8,3060.0,1.45,3.2,5.3,0
13352597190,13366777569,0,Swami Vivekanand Road,primary,2,34.7,4435.8,3060.0,1.45,2.3,3.8,0
7398169348,11027755171,0,Swami Vivekanand Road,primary,2,7.9,4435.8,3060.0,1.45,0.5,0.9,0
7398169377,627835045,0,Swami Vivekanand Road,primary,2,233.0,4435.8,3060.0,1.45,15.3,25.4,0
7398169376,7398169377,0,Swami Vivekanand Road,primary,2,27.9,4435.8,3060.0,1.45,1.8,3.0,0
13695160569,13858674670,0,Swami Vivekanand Road,primary,2,96.3,4435.8,3060.0,1.45,6.3,10.5,0
7398169375,7398169376,0,Swami Vivekanand Road,primary,2,18.5,4435.8,3060.0,1.45,1.2,2.0,0
7398222686,7398222687,0,Swami Vivekanand Road,primary,2,14.9,4435.8,3060.0,1.45,1.0,1.6,0
9198559600,7398169353,0,Swami Vivekanand Road,primary,2,55.2,4435.8,3060.0,1.45,3.6,6.0,0
7398222687,13855971681,0,Swami Vivekanand Road,primary,2,98.5,4435.8,3060.0,1.45,6.4,10.7,0
7398169370,9198559600,0,Swami Vivekanand Road,primary,2,259.9,4435.8,3060.0,1.45,17.0,28.3,0
11027755171,5938773180,0,Swami Vivekanand Road,primary,2,59.7,4435.8,3060.0,1.45,3.9,6.5,0
7398169365,13352597190,0,Swami Vivekanand Road,primary,2,46.5,4435.8,3060.0,1.45,3.0,5.1,0
13858674670,7398169370,0,Swami Vivekanand Road,primary,2,95.8,4435.8,3060.0,1.45,6.3,10.4,0
