,Dahisar,Borivali,Kandivali,Malad,Goregaon,Jogeshwari,Andheri,Vile Parle,Santacruz,Khar,Bandra
Dahisar,1330,13,6,15,128,20,642,290,432,291,1290
Borivali,91,2467,270,122,199,24,580,276,420,250,1031
Kandivali,6,17,2550,1161,266,31,540,266,409,226,895
Malad,2,3,32,2979,621,49,577,302,475,230,843
Goregaon,0,0,0,9,3510,80,367,224,373,129,400
Jogeshwari,0,0,0,1,633,3006,200,135,232,65,185
Andheri,0,0,0,0,1,5,8904,1,1,0,1
Vile Parle,0,0,0,0,0,0,540,2642,0,0,0
Santacruz,0,0,0,0,0,0,73,72,2298,206,152
Khar,0,0,0,0,0,0,69,70,4,1779,369
Bandra,0,0,0,0,0,0,10,8,1,38,3763
