config,case,dTSTT_pct,dCorridor_pct,max_vc,TSTT_pcu_h
default,base,0.0,0.0,1.97,4272.2
default,A_widen,-0.35,0.01,1.97,4257.1
default,B_addlink,6.22,-29.49,1.92,4538.2
default,C_close,19.4,12.45,2.14,5101.2
default,D_incident_N1,1.14,0.69,2.22,4320.8
default,D_incident_N2,4.51,2.81,2.5,4465.0
default,D_incident_N3,8.05,5.7,2.71,4616.2
calibrated,base,0.0,0.0,2.55,4063.9
calibrated,A_widen,-0.14,-0.01,2.55,4058.4
calibrated,B_addlink,8.38,-27.54,2.49,4404.4
calibrated,C_close,20.07,8.49,2.23,4879.6
calibrated,D_incident_N1,0.23,0.23,3.04,4073.3
calibrated,D_incident_N2,0.68,0.34,3.78,4091.5
calibrated,D_incident_N3,1.1,0.72,4.92,4108.7
low_flow,base,0.0,0.0,1.66,2551.1
low_flow,A_widen,-0.41,-0.28,1.7,2540.6
low_flow,B_addlink,8.8,-26.52,1.65,2775.7
low_flow,C_close,19.2,6.8,1.43,3041.0
low_flow,D_incident_N1,0.31,0.11,1.85,2559.0
low_flow,D_incident_N2,2.21,1.14,2.1,2607.4
low_flow,D_incident_N3,5.0,3.21,2.34,2678.8
high_flow,base,0.0,0.0,2.25,6590.9
high_flow,A_widen,-0.52,-0.32,2.32,6556.7
high_flow,B_addlink,2.27,-36.46,2.21,6740.8
high_flow,C_close,22.87,17.53,2.45,8098.2
high_flow,D_incident_N1,1.22,0.56,2.48,6671.0
high_flow,D_incident_N2,2.92,1.82,2.68,6783.5
high_flow,D_incident_N3,5.25,3.56,2.88,6937.1
capped_proc,base,0.0,0.0,1.8,2928.5
capped_proc,A_widen,0.04,0.65,1.86,2929.6
capped_proc,B_addlink,33.33,-26.55,1.92,3904.5
capped_proc,C_close,22.85,6.32,1.81,3597.6
capped_proc,D_incident_N1,1.94,1.29,2.05,2985.4
capped_proc,D_incident_N2,5.59,1.67,2.35,3092.2
capped_proc,D_incident_N3,9.88,3.0,2.62,3217.9
