idx,lat,lon,mean_tti,max_tti,mean_current_kph,mean_free_kph,n_obs
0,19.25,72.857,1.0,1.0,21.0,21.0,3
1,19.254,72.856,1.0,1.0,22.0,22.0,3
2,19.256,72.859,1.0,1.0,19.0,19.0,3
3,19.253,72.863,1.5,1.5,10.0,15.0,3
4,19.25,72.867,1.5,1.5,10.0,15.0,3
5,19.246,72.865,1.448,1.448,29.0,42.0,3
6,19.241,72.864,1.448,1.448,29.0,42.0,3
7,19.236,72.863,1.433,1.433,30.0,43.0,3
8,19.232,72.863,1.433,1.433,30.0,43.0,3
9,19.227,72.864,1.433,1.433,30.0,43.0,3
10,19.222,72.865,1.433,1.433,30.0,43.0,3
11,19.218,72.867,1.433,1.433,30.0,43.0,3
12,19.213,72.868,1.433,1.433,30.0,43.0,3
13,19.208,72.868,1.433,1.433,30.0,43.0,3
14,19.205,72.864,1.433,1.433,30.0,43.0,3
15,19.201,72.861,1.433,1.433,30.0,43.0,3
16,19.196,72.86,1.433,1.433,30.0,43.0,3
17,19.192,72.859,1.433,1.433,30.0,43.0,3
18,19.187,72.858,1.433,1.433,30.0,43.0,3
19,19.182,72.859,1.433,1.433,30.0,43.0,3
20,19.177,72.859,1.433,1.433,30.0,43.0,3
21,19.172,72.859,1.433,1.433,30.0,43.0,3
22,19.168,72.859,1.433,1.433,30.0,43.0,3
23,19.163,72.858,1.433,1.433,30.0,43.0,3
24,19.158,72.857,1.433,1.433,30.0,43.0,3
25,19.153,72.857,1.433,1.433,30.0,43.0,3
26,19.148,72.856,1.433,1.433,30.0,43.0,3
27,19.143,72.856,1.433,1.433,30.0,43.0,3
28,19.139,72.855,1.433,1.433,30.0,43.0,3
29,19.134,72.855,1.0,1.0,53.0,53.0,3
30,19.129,72.855,1.0,1.0,53.0,53.0,3
31,19.124,72.857,1.0,1.0,53.0,53.0,3
32,19.12,72.856,1.0,1.0,53.0,53.0,3
33,19.115,72.855,1.0,1.0,53.0,53.0,3
34,19.11,72.854,1.0,1.0,53.0,53.0,3
35,19.105,72.854,1.0,1.0,53.0,53.0,3
36,19.101,72.855,1.0,1.0,52.0,52.0,3
37,19.096,72.853,1.0,1.0,53.0,53.0,3
38,19.093,72.85,1.0,1.0,53.0,53.0,3
39,19.091,72.845,1.0,1.0,53.0,53.0,3
40,19.087,72.844,1.0,1.0,53.0,53.0,3
41,19.083,72.847,1.0,1.0,28.0,28.0,3
42,19.081,72.845,1.467,1.467,15.0,22.0,3
43,19.078,72.843,1.545,1.545,11.0,17.0,3
44,19.075,72.84,1.545,1.545,11.0,17.0,3
45,19.071,72.839,1.2,1.2,15.0,18.0,3
46,19.067,72.837,1.5,1.5,16.0,24.0,3
47,19.063,72.837,1.533,1.533,15.0,23.0,3
48,19.058,72.838,1.5,1.5,16.0,24.0,3
49,19.055,72.84,1.333,1.333,15.0,20.0,3
